movie_id,plot,good
Q106987651,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",1
Q22000827,A mama's boy falls for a spinster who works at a nursery in a department store.,0
Q7457306,"A writer, looking for some peace and quiet in order to finish a novel, takes a room at the Baldpate Inn. However, peace and quiet are the last things he gets, as there are some very strange goings-on at the establishment.",1
Q7162528,A security guard's night shift brings forth an eclectic mix of characters and must use his wits and keep his nerve to survive the night.,1
Q7743973,A talking dog named Cho Cho teams up with a police detective named Peter Fowler to solve the murder of his owner Chin Li.,1
Q5146445,A woman hotelier with an interest in eugenics invites some young men to spend the summer.,0
Q4695124,The story revolves around a PIO Indian woman with schizophrenia and its impact on those close to her.,1
Q12124707,"Professional hunter Harry Black is in India. He wants to kill a tiger that is threatening a village. As he proceeds on his journey, he encounters numerous people, including the young, and maybe too smart, Desmond Tanner and his wife Chris, who was Harry's past love.",1
Q10709489,"Eva, an office worker, discovers that she has unexpectedly inherited a large amount of money in the United States.",0
Q25447893,"Tough New York cop Johnny McCloud falls in love with nightclub singer Lola Parker, but she seems more involved with gangster George Perry.",1
Q17488102,"Eun-jin struggles to make her seventh relationship work after six failed ones. But she begins to suspect that her new boyfriend, bumbling but sweet Hyun-suk, may be hiding something.",1
Q54868295,A lawyer takes on the case of a man accused of murdering his wealthy wife.,1
Q7715016,A Chicago gangster staying in a London hotel tries to solve the murder of one of the other guests.,1
Q3715989,A father and son play matchmaker for each other during a trip to Paris.,0
Q4243310,"The film tells about the love, complex relationships and human generosity that everyone needs.",0
Q12155780,The son of a remarkable surgeon wants to be a singer and falls in love with a young Bohemian girl.,1
Q27963276,"Encouraged by a pastor to explore the outside world, Kennedy sets out on a journey. But fate leads him to a security job at a resort where he starts experiencing paranormal activities.",1
Q7766949,"Joanne Denver was adopted at birth and is searching for her birth parents. She meets Chris Schroeder, who is also adopted and is searching for his birth parents.",0
Q3804034,"A psycho-sexual, fantastical retelling of the life of a man with cerebral palsy and a fetish for girls with long hair.",1
Q820719,"Set in 1921, the film takes place in the fictional Irish county of Glenarvon, somewhere in the northwest of County Galway, and tells the story of Gloria Grandison, an Irish wife of the local British magistrate who falls in love with an Irish nationalist and leaves her husband for him.",1
Q7715531,"In the eighteenth century, twin brothers overthrow a sadistic aristocrat.",0
Q114391601,"The plot follows surly lost & found worker Mario who, upon handling a lost suitcase with human remains inside, gets involved in a criminal investigation pertaining human trafficking and luxury prostitution.",1
Q5188291,A Devon Vicar mistakenly comes under suspicion of murdering a rival in love.,0
Q5813766,"The film tells the story of two brothers who have a love-hate relationship. The recent death of his mother will increase the conflicts between the two. The story takes place in Buenos Aires in Argentina and then moves to the small town of Carmelo, in the Uruguayan department of Colonia.",1
Q19891346,Dilli Gang is the story of an old man targeted by a dangerous gang which preys on senior citizens living alone. The film is based on true incidents of increasing murders of aged men and women staying alone in metropolitan cities.,1
Q6466175,"Carlos (Alberto Closas) has to work to feed his wife (Amparo Soler Leal), his 15 children and the grandpa (José Isbert). The children dream of having a television. The summer holidays is another trouble for the big family.",1
Q20949968,FBI Special Agent K-7 Vince Landers investigates a series of crimes that includes the murders of Tony Black and Eddie Geller. Billy Westrop is the prime suspect.,0
Q5245590,"After the attempted theft of his daughter's fiance's car, LAPD Captain Gibbs declares war on master car thief Maindrian Pace. Meanwhile, Pace is hired to steal 40 cars, and must do so without being caught.",1
Q110101985,"The film tracks a group high schoolers in Madrid, following them from mid-teens to their early 20s.",0
Q5302848,A man smuggling drugs up the River Thames is caught when a newspaper reporter pursues him.,1
Q3521077,Three guys move from New Jersey to Miami and two of them end up killing the third.,0
Q123263821,A retired serial killer acts as a consultant for an author writing about murders.,0
Q3196611,Dr Kruger runs a clinic for rich patients who want to die. If they convince him that they might have a reason for suicide he assists them.,1
Q2614123,Series of vignettes about the theme of male infidelity and its adulterous variants.,0
Q12102124,Two miners compete for an important coal contract. One of them attempts to sabotage the other but fails.,1
Q1728739,"Journalist Jack Warren is celebrated for interviewing successful women but is secretly tired of this line of work. When he encounters the actress Dorothy Hopkins, he mistakes her for the famous aviatrix Mabel Atkinson and in turn mistakes the real Mabel for somebody else.",1
Q15954373,"Gen. Cheng Tsu-chung, the Mars of China, is held in high esteem, even by his enemies.",0
Q2357638,Reckless poet Valentijn suddenly becomes a single father after an unexpected pregnancy.,0
Q3822236,The film revolves around a middle-class Milanese family who go on holiday.,0
Q15709325,"El Toro the outlaw saves Hoppy's life, so Hoppy agrees to help find his missing grandson.",0
Q30080183,"Based on the true story of famed cyclist Uhm Bok-dong, who became a symbol of pride for Koreans when he defeated Japanese cyclists and won the championship in a bicycle race which took place during the Japanese colonial rule of Korea.",1
